Species,FunctionalGroup,Duration,Lifeform,Pathway,Taxon,Specid,5Lspecid,Origin,ITISTaxon,ITISRecognizedName,Family,CountSpecies,Comment
Apocynum sp.,F,Perennial,Non-legume forb,C3,663,Apocynsp,Aposp,Unknown,,,Apocynaceae,Y,
Aquilegia canadensis,F,Perennial,Non-legume forb,C3,639,Aquicana,Aquca,Native,18730,Aquilegia canadensis,Ranunculaceae,Y,
Arabis divaricarpa,F,Biennial,Non-legume forb,C3,574,Arabdiva,Aradi,Native,22688,Arabis divaricarpa,Brassicaceae,Y,
Arabis glabra,F,Biennial,Non-legume forb,C3,575,Arabglab,Aragl,Native,22695,Arabis glabra,Brassicaceae,Y,
Arabis hirsuta,F,Biennial,Non-legume forb,C3,617,Arabhirs,Arahi,Native,184344,Arabis hirsuta,Brassicaceae,Y,
Arabis sp.,F,Biennial,Non-legume forb,C3,506,Arabissp,Arasp,Unknown,,,Brassicaceae,Y,
Aralia nudicaulis,F,Perennial,Non-legume forb,C3,667,Aralnudi,Aranu,Native,29376,Aralia nudicaulis,Araliaceae,Y,
Arenaria lateriflora,F,Perennial,Non-legume forb,C3,576,Arenlate,Arela,Native,509055,Arenaria lateriflora,Caryophyllaceae,Y,
Aristida basiramea,C4,Annual,Grass,C4,123,Arisbasi,Ariba,Native,41412,Aristida basiramea,Poaceae,Y,
Aristida sp.,C4,Annual,Grass,C4,138,Aristisp,Arisp,Unknown,,,Poaceae,Y,
Aristida tuberculosa,C4,Annual,Grass,C4,154,Aristube,Aritu,Native,41436,Aristida tuberculosa,Poaceae,Y,
Aronia melanocarpa,W,Perennial,Woody,C3,353,Aronmela,Arome,Native,25127,Aronia melanocarpa,Rosaceae,Y,
Artemisia (caudata) campestris,F,Biennial,Non-legume forb,C3,507,Artecaud,Artca,Native,183748,Artemisia campestris,Asteraceae,Y,
Artemisia ludoviciana,F,Perennial,Non-legume forb,C3,508,Arteludo,Artlu,Native,35474,Artemisia ludoviciana,Asteraceae,Y,
Artemisia sp.,F,,Non-legume forb,C3,772,Artemisp,Artsp,Unknown,,,Asteraceae,Y,
Asclepias exaltata,,,,,1019,,,,,,,,
Asclepias incarnata,F,Perennial,Non-legume forb,C3,500,Asclinca,Ascin,Native,30241,Asclepias incarnata,Asclepiaceae,Y,
Asclepias ovalifolia,F,Perennial,Non-legume forb,C3,577,Ascloval,Ascov,Native,30291,Asclepias ovalifolia,Asclepiaceae,Y,
Asclepias sp.,F,Perennial,Non-legume forb,C3,609,Asclepsp,Ascsp,Unknown,,,Asclepiaceae,Y,
Asclepias syriaca,F,Perennial,Non-legume forb,C3,509,Asclsyri,Ascsy,Native,30310,Asclepias syriaca,Asclepiaceae,Y,
Asclepias tuberosa,F,Perennial,Non-legume forb,C3,510,Ascltube,Asctu,Native,30313,Asclepias tuberosa,Asclepiaceae,Y,
Asclepias verticillata,F,Perennial,Non-legume forb,C3,621,Asclvert,Ascve,Native,30320,Asclepias verticillata,Asclepiaceae,Y,
Asclepias viridiflora,F,Perennial,Non-legume forb,C3,782,Asclviri,Ascvi,Native,30322,Asclepias viridiflora,Asclepiaceae,Y,
Asparagus officinalis,F,Perennial,Non-legume forb,C3,654,Aspaoffi,Aspof,Introduced,42784,Asparagus officinalis,Lilliaceae,Y,
Aster azureus,F,Perennial,Non-legume forb,C3,512,Asteazur,Astaz,Native,35528,Aster azureus,Asteraceae,Y,
Aster ericoides,F,Perennial,Non-legume forb,C3,511,Asteeric,Aster,Native,35564,Aster ericoides,Asteraceae,Y,
Aster junciformis,F,Perennial,Non-legume forb,C3,632,Astejunc,Astju,Native,35596,Aster junciformis,Asteraceae,Y,
Aster lanceolatus (var. simplex),,,,,1020,,,,,,,,
Aster macrophyllus,,,,,1021,,,,,,,,
Aster novae-angliae,F,Perennial,Non-legume forb,C3,722,Astenova,Astno,Native,35613,Aster novae-angliae,Asteraceae,Y,
Aster ptarmicoides,F,Perennial,Non-legume forb,C3,723,Asteptar,Astpt,Native,509304,Aster ptarmicoides,Asteraceae,Y,
Aster puniceus,F,Perennial,Non-legume forb,C3,702,Astepuni,Astpu,Native,35512,Aster puniceus,Asteraceae,Y,
Aster simplex,F,Perennial,Non-legume forb,C3,643,Astesimp,Astsi,Native,35514,Aster simplex,Asteraceae,Y,
Aster sp.,F,Perennial,Non-legume forb,C3,578,Astersp,Astsp,Native,,,Asteraceae,Y,
Aster umbellatus,F,Perennial,Non-legume forb,C3,646,Asteumbe,Astum,Native,35671,Aster umbellatus,Asteraceae,Y,
Astragalus canadensis,L,Perennial,Legume,C3,411,Astrcana,Astca,Native,25451,Astragalus canadensis,Fabaceae,Y,
Athyrium angustum,O,Perennial,,C3,14,Athyangu,Athan,Native,192161,Athyrium angustum,Aspleniaceae,Y,
Baptisia leucantha,L,Perennial,Legume,C3,415,Baptleuc,Baple,Native,192833,Baptisia leucantha,Fabaceae,Y,
Barbarea vulgaris,F,Annual,Non-legume forb,C3,774,Barbvulg,Barvu,Introduced,22741,Barbarea vulgaris,Brassicaceae,Y,
Bare ground,BG,,,,0,Baregrou,Bargr,Unknown,,,,N,
Berteroa incana,F,Biennial,Non-legume forb,C3,513,Bertinca,Berin,Introduced,23052,Berteroa incana,Brassicaceae,Y,
Betula allegheniensis,,,,,1005,,,,,,,,
Betula papyrifera,W,Perennial,Woody,C3,330,Betupapy,Betpa,Native,19489,Betula papyrifera,Betulaceae,Y,
Betula pumila,W,Perennial,Woody,C3,331,Betupumi,Betpu,Native,19498,Betula pumila,Betulaceae,Y,
Bidens cernua,F,Annual,Non-legume forb,C3,647,Bidecern,Bidce,Native,35710,Bidens cernua,Asteraceae,Y,
Bidens coronata,F,Biennial,Non-legume forb,C3,648,Bidecoro,Bidco,Native,35706,Bidens coronata,Asteraceae,Y,
Bidens sp.,F,,Non-legume forb,C3,669,Bidenssp,Bidsp,Unknown,,,Asteraceae,Y,
Bidens tripartita,F,Annual,Non-legume forb,C3,649,Bidetrip,Bidtr,Introduced,35709,Bidens tripartita,Asteraceae,Y,
Botrichium sp.,O,Perennial,,C3,6,Botricsp,Botsp,Native,,Botrychium sp.,Ophioglossaceae,Y,
Bouteloua curtipendula,C4,Perennial,Grass,C4,151,Boutcurt,Boucu,Native,41500,Bouteloua curtipendula,Poaceae,Y,
Bouteloua gracilis,C4,Perennial,Grass,C4,139,Boutgrac,Bougr,Native,41493,Bouteloua gracilis,Poaceae,Y,
Bouteloua hirsuta,C4,Perennial,Grass,C4,104,Bouthirs,Bouhi,Native,41502,Bouteloua hirsuta,Poaceae,Y,
Bouteloua sp.,C4,,Grass,C4,163,Boutelsp,Bousp,Native,,,Poaceae,Y,
Bromus ciliatus,C3,Perennial,Grass,C3,156,Bromcili,Broci,Native,40496,Bromus ciliatus,Poaceae,Y,
Bromus inermis,C3,Perennial,Grass,C3,105,Brominer,Broin,Introduced,40502,Bromus inermis,Poaceae,Y,
Bromus kalmii,C3,Perennial,Grass,C3,161,Bromkalm,Broka,Native,40503,Bromus kalmii,Poaceae,Y,
Bromus sp.,C3,Perennial,Grass,C3,124,Bromussp,Brosp,Introduced,,,Poaceae,Y,
Bromus tectorum,C3,Perennial,Grass,C3,172,Bromtect,Brote,Introduced,40524,Bromus tectorum,Poaceae,Y,
Buchloe dactyloides,C4,Perennial,Grass,C4,130,Buchdact,Bucda,Native,41533,Buchloe dactyloides,Poaceae,Y,
Calamagrostis canadensis,C3,Perennial,Grass,C3,125,Calacana,Calca,Native,40544,Calamagrostis canadensis,Poaceae,Y,
Calamagrostis inexpansa,C3,Perennial,Grass,C3,147,Calainex,Calin,Native,40551,Calamagrostis inexpansa,Poaceae,Y,
Calamagrostis sp.,C3,Perennial,Grass,C3,157,Calamasp,Calsp,Unknown,,,Poaceae,Y,
Calamovilfa longifolia,C4,Perennial,Grass,C4,126,Calalong,Callo,Native,41539,Calamovilfa longifolia,Poaceae,Y,
Calamovilfa sp.,C4,Perennial,Grass,C4,127,Calamosp,Calsp,Native,,,Poaceae,Y,
Caltha palustris,F,Perennial,Non-legume forb,C3,724,Caltpalu,Calpa,Native,18454,Caltha palustris,Ranunculaceae,Y,
Campanula aparinoides,F,Perennial,Non-legume forb,C3,674,Campapar,Camap,Native,34476,Campanula aparinoides,Campanulaceae,Y,
Campanula rotundifolia,F,Perennial,Non-legume forb,C3,579,Camprotu,Camro,Native,34497,Campanula rotundifolia,Campanulaceae,Y,
Campanula sp.,F,,Non-legume forb,C3,748,Campansp,Camsp,Unknown,,,Campanulaceae,Y,
Canopy cover,,,,,809,Canocove,Canco,Unknown,,,,N,
Capsella bursa-pastoris,F,Annual,Non-legume forb,C3,773,Capsburs,Capbu,Introduced,22766,Capsella bursa-pastoris,Brassicaceae,Y,
Carex bebbii,S,Perennial,Sedge,C3,219,Carebebb,Carbe,Native,39520,Carex bebbii,Cyperaceae,Y,
Carex Bicknelli,,,,,1023,,,,,,,,
Carex canescens,S,Perennial,Sedge,C3,203,Carecane,Carca,Native,39447,Carex canescens,Cyperaceae,Y,
Carex cephalantha,S,Perennial,Sedge,C3,216,Careceph,Carce,Native,510172,Carex cephalantha,Cyperaceae,Y,
Carex chordorrhiza,S,Perennial,Sedge,C3,204,Carechor,Carch,Native,39547,Carex chordorrhiza,Cyperaceae,Y,
Carex comosa,S,Perennial,Sedge,C3,205,Carecomo,Carco,Native,39384,Carex comosa,Cyperaceae,Y,
Carex diandra,S,Perennial,Sedge,C3,206,Caredian,Cardi,Native,39448,Carex diandra,Cyperaceae,Y,
Carex disperma,S,Perennial,Sedge,C3,207,Caredisp,Cardi,Native,39577,Carex disperma,Cyperaceae,Y,
Carex foenea,S,Perennial,Sedge,C3,201,Carefoen,Carfo,Native,39607,Carex foenea,Cyperaceae,Y,
Carex gracillima,S,Perennial,Sedge,C3,220,Caregrac,Cargr,Native,39620,Carex gracillima,Cyperaceae,Y,
Carex haydenii,S,Perennial,Sedge,C3,208,Carehayd,Carha,Native,39630,Carex haydenii,Cyperaceae,Y,
Carex interior,S,Perennial,Sedge,C3,217,Careinte,Carin,Native,39652,Carex interior,Cyperaceae,Y,
Carex lacustris,S,Perennial,Sedge,C3,209,Carelacu,Carla,Native,39409,Carex lacustris,Cyperaceae,Y,
Carex lanuginosa,S,Perennial,Sedge,C3,210,Carelanu,Carla,Native,39458,Carex lanuginosa,Cyperaceae,Y,
Carex lasiocarpa,S,Perennial,Sedge,C3,211,Carelasi,Carla,Native,39459,Carex lasiocarpa,Cyperaceae,Y,
Carex muhlenbergii,S,Perennial,Sedge,C3,218,Caremuhl,Carmu,Native,39423,Carex muehlenbergii,Cyperaceae,Y,
Carex oligosperma,S,Perennial,Sedge,C3,212,Careolig,Carol,Native,39729,Carex oligosperma,Cyperaceae,Y,
Carex pensylvanicus,S,Perennial,Sedge,C3,202,Carepens,Carpe,Native,39749,Carex pensylvanica,Cyperaceae,Y,
Carex rostrata,S,Perennial,Sedge,C3,213,Carerost,Carro,Native,39464,Carex rostrata,Cyperaceae,Y,
Carex scoparia,S,Perennial,Sedge,C3,214,Carescop,Carsc,Native,39432,Carex scoparia,Cyperaceae,Y,
Carex sp.,S,Perennial,Sedge,C3,200,Carexsp,Carsp,Native,,,Cyperaceae,Y,
Carex stricta,S,Perennial,Sedge,C3,215,Carestri,Carst,Native,39435,Carex stricta,Cyperaceae,Y,
Cassia fasciculata,L,Perennial,Legume,C3,421,Cassfasc,Casfa,Native,25736,Cassia fasciculata,Fabaceae,Y,
Ceanothus americanus,W,Perennial,Woody,C3,325,Ceanamer,Ceaam,Native,28454,Ceanothus americanus,Rhamnaceae,Y,
Celastrus scandens,W,Perennial,Woody,C3,341,Celascan,Celsc,Native,27974,Celastrus scandens,Celastraceae,Y,
Cenchrus longispinus,C4,Annual,Grass,C4,106,Cenclong,Cenlo,Native,40570,Cenchrus longispinus,Poaceae,Y,
Chamaedaphne calyculata,W,Perennial,Woody,C3,337,Chamcaly,Chaca,Native,23637,Chamaedaphne calyculata,Ericaceae,Y,
Chenopodium album,F,Annual,Non-legume forb,C3,514,Chenalbu,Cheal,Introduced,20592,Chenopodium album,Chenopodiaceae,Y,
Chenopodium hybridum,F,Annual,Non-legume forb,Cx,764,Chenhybr,Chehy,Native,20639,Chenopodium hybridum,Chenopodiaceae,Y,
Chenopodium leptophyllum,F,Annual,Non-legume forb,C3,515,Chenlept,Chele,Native,20616,Chenopodium leptophyllum,Chenopodiaceae,Y,
Chenopodium sp.,F,,Non-legume forb,C3,757,Chenopsp,Chesp,Unknown,,,Chenopodiaceae,Y,
Chrysopsis villosa,F,Perennial,Non-legume forb,C3,516,Chryvill,Chrvi,Native,510984,Chrysopsis villosa,Asteraceae,Y,
Cicuta bulbifera,F,Perennial,Non-legume forb,C3,676,Cicubulb,Cicbu,Native,29459,Cicuta bulbifera,Apiaceae,Y,
Circaea lutetiana,F,Perennial,Non-legume forb,C3,781,Circlute,Cirlu,Native,27568,Circaea lutetiana,Onagraceae,Y,
Circaea quadrisulcata,,,,,1024,,,,,,,,
Cirsium arvense,F,Perennial,Non-legume forb,C3,580,Cirsarve,Cirar,Introduced,36335,Cirsium arvense,Asteraceae,Y,
Cirsium discolor,F,,Non-legume forb,C3,763,Cirsdisc,Cirdi,Native,36362,Cirsium discolor,Asteraceae,Y,
Cirsium sp.,F,Perennial,Non-legume forb,C3,616,Cirsiusp,Cirsp,Unknown,,,Asteraceae,Y,
Cladonia Lichens,,,,,1025,,,,,,,,
Comandra richardsiana,F,Perennial,Non-legume forb,C3,581,Comarich,Comri,Native,511249,Comandra richardsiana,Santalaceae,Y,
Comandra umbellata,,,,,1026,,,,,,,,
Convolvulus arvensis,F,Perennial,Non-legume forb,C3,517,Convarve,Conar,Introduced,30705,Convolvulus arvensis,Convolvulaceae,Y,
Conyza canadensis,,,,,1027,,,,,,,,
Coreopsis palmata,F,Perennial,Non-legume forb,C3,518,Corepalm,Corpa,Native,37148,Coreopsis palmata,Asteraceae,Y,
Corn litter,,,,,90,Cornlitt,Corli,,,,,,
Cornus alternifolia,W,Perennial,Woody,C3,379,Cornalte,Coral,Native,,,,Y,
Cornus racemosa,W,Perennial,Woody,C3,339,Cornrace,Corra,Native,501635,Cornus racemosa,Cornaceae,Y,
Cornus sp.,W,Perennial,Woody,C3,340,Cornussp,Corsp,Unknown,,,Cornaceae,Y,
Cornus stolonifera,W,Perennial,Woody,C3,322,Cornstol,Corst,Native,27818,Cornus stolonifera,Cornaceae,Y,
Corylus americanus,W,Perennial,Woody,C3,313,Coryamer,Coram,Native,19506,Corylus americana,Betulaceae,Y,
Cotyledons,,,,,810,Cotyled,Cotyl,Unknown,,,,Y,
Crepis tectorum,F,Annual,Non-legume forb,C3,519,Creptect,Crete,Introduced,37212,Crepis tectorum,Asteraceae,Y,
Cryptogams,,,,,50,Cryptog,Crypt,Unknown,,,,N,
Cycloloma atriplicifolium,F,,Non-legume forb,Cx,765,Cyclatri,Cycat,Native,20685,Cycloloma atriplicifolium,Chenopodiaceae,Y,
Cyperus filiculmis,S,Perennial,Sedge,C4,230,Cypefili,Cypfi,Native,39890,Cyperus filiculmis,Cyperaceae,Y,
Cyperus schweinitzii,S,Perennial,Sedge,C4,232,Cypeschw,Cypsc,Native,39963,Cyperus schweinitzii,Cyperaceae,Y,
Cyperus sp.,S,Perennial,Sedge,C4,231,Cyperusp,Cypsp,Native,,,Cyperaceae,Y,
Cyperus strigosus,S,Perennial,Sedge,C4,233,Cypestri,Cypst,Native,39901,Cyperus strigosus,Cyperaceae,Y,
Danthonia spicata,C3,Perennial,Grass,C3,162,Dantspic,Dansp,Native,41642,Danthonia spicata,Poaceae,Y,
Delphinium virescens,F,Perennial,Non-legume forb,C3,520,Delpvire,Delvi,Native,18524,Delphinium virescens,Ranunculaceae,Y,
Desmodium canadense,L,Perennial,Legume,C3,407,Desmcana,Desca,Native,25791,Desmodium canadense,Fabaceae,Y,
Desmodium glutinosum,L,Perennial,Legume,C3,783,Desmglut,Desgl,Native,25800,Desmodium glutinosum,Fabaceae,Y,
Digitaria ischaemum,C4,Annual,Grass,C4,135,Digiisch,Digis,Introduced,40637,Digitaria ischaemum,Poaceae,Y,
Digitaria sanguinalis,C4,Annual,Grass,C4,129,Digisang,Digsa,Introduced,40604,Digitaria sanguinalis,Poaceae,Y,
Digitaria sp.,C4,Annual,Grass,C4,164,Digitasp,Digsp,Unknown,,,Poaceae,Y,
Disturbance,,,,,805,Disturb,Distu,Unknown,,,,N,
Dryopteris cristata,O,Perennial,,C3,8,Dryocris,Drycr,Native,17531,Dryopteris cristata,Aspleniaceae,Y,
Dryopteris spinulosa,,,,,1028,,,,,,,,
Dulichium arundinaceum,S,Perennial,Sedge,C3,234,Duliarun,Dular,Native,40009,Dulichium arundinaceum,Cyperaceae,Y,
Echinacea purpurea,F,Perennial,Non-legume forb,C3,725,Echipurp,Echpu,Native,37281,Echinacea purpurea,Asteraceae,Y,
Eleocharis sp.,S,,Sedge,C3,235,Eleochsp,Elesp,Unknown,,,Cyperaceae,Y,
Elymus canadensis,C3,Perennial,Grass,C3,140,Elymcana,Elyca,Native,40683,Elymus canadensis,Poaceae,Y,
Elymus trachycaulus,,,,,1029,,,,,,,,
Epilobium angustifolium,F,Perennial,Non-legume forb,C3,726,Epilangu,Epian,Native,27284,Epilobium angustifolium,Onagraceae,Y,
Epilobium ciliatum,F,Perennial,Non-legume forb,C3,709,Epilcili,Epici,Native,27293,Epilobium ciliatum,Onagraceae,Y,
Epilobium glandulosum,F,Perennial,Non-legume forb,C3,767,Epilglan,Epigl,Native,512918,Epilobium glandulosum,Onagraceae,Y,
Epilobium leptophyllum,F,,Non-legume forb,C3,677,Epillept,Epile,Native,27311,Epilobium leptophyllum,Onagraceae,Y,
Epilobium sp.,F,,Non-legume forb,C3,678,Epilobsp,Episp,Unknown,,,Onagraceae,Y,
Equisetum arvense,O,Perennial,,C3,7,Equiarve,Equar,Native,17152,Equisetum arvense,Equisetaceae,Y,
Equisetum hyemale,O,Perennial,,C3,18,Equihyem,Equhy,Native,17154,Equisetum hyemale,Equisetaceae,Y,
Equisetum laevigatum,O,Perennial,,C3,1,Equilaev,Equla,Native,17156,Equisetum laevigatum,Equisetaceae,Y,
Equisetum sp.,O,,,C3,16,Equisesp,Equsp,Unknown,,,Equisetaceae,Y,
Eragrostis spectabilis,C4,Perennial,Grass,C4,107,Eragspec,Erasp,Native,40717,Eragrostis spectabilis,Poaceae,Y,
Eragrostis trichodes,C4,Perennial,Grass,C4,171,Eragtric,Eratr,Native,40768,Eragrostis trichodes,Poaceae,Y,
Erechtites hieracifolia,F,Annual,Non-legume forb,C3,679,Erechier,Erehi,Native,505920,Erechtites hieracifolia,Asteraceae,Y,
Erigeron anuus,F,Annual,Non-legume forb,C3,635,Eriganuu,Erian,Native,35804,Erigeron annuus,Asteraceae,Y,
Erigeron canadensis,F,Annual,Non-legume forb,C3,521,Erigcana,Erica,Introduced,196266,Erigeron canadensis,Asteraceae,Y,
Erigeron sp.,F,Annual,Non-legume forb,C3,619,Erigersp,Erisp,Unknown,,,Asteraceae,Y,
Erigeron strigosus,F,Annual,Non-legume forb,C3,522,Erigstri,Erist,Native,35951,Erigeron strigosus,Asteraceae,Y,
Eupatorium maculatum,F,Perennial,Non-legume forb,C3,627,Eupamacu,Eupma,Native,502517,Eupatorium maculatum,Asteraceae,Y,
Eupatorium perfoliatum,F,Perennial,Non-legume forb,C3,681,Eupaperf,Euppe,Native,35980,Eupatorium perfoliatum,Asteraceae,Y,
Eupatorium rugosum,,,,,1030,,,,,,,,
Euphorbia (supina) maculata,F,Annual,Non-legume forb,C4,525,Euphsupi,Eupsu,Native,565768,Euphorbia maculata,Euphorbiaceae,Y,
Euphorbia corollata,F,Perennial,Non-legume forb,C3,523,Euphcoro,Eupco,Native,28057,Euphorbia corollata,Euphorbiaceae,Y,
Euphorbia geyeri,F,Annual,Non-legume forb,C4,706,Euphgeye,Eupge,Native,28073,Euphorbia geyeri,Euphorbiaceae,Y,
Euphorbia glyptosperma,F,Annual,Non-legume forb,C4,524,Euphglyp,Eupgl,Native,28074,Euphorbia glyptosperma,Euphorbiaceae,Y,
Euphorbia sp.,F,Annual,Non-legume forb,Cx,583,Euphorsp,Eupsp,Unknown,,,Euphorbiaceae,Y,
Euthamia graminifolia,,,,,1031,,,,,,,,
Festuca ovina,C3,Perennial,Grass,C3,170,Festovin,Fesov,Introduced,565873,Festuca ovina,Poaceae,Y,
Festuca rubra,C3,Perennial,Grass,C3,169,Festrubr,Fesru,Introduced,40796,Festuca rubra,Poaceae,Y,
Festuca sp.,C3,Perennial,Grass,C3,167,Festucsp,Fessp,Unknown,,,Poaceae,Y,
Forb seedlings,O,,,,808,Forbseed,Forse,Unknown,,,,Y,
Forbs,F,,Non-legume forb,,940,Forbs,Forbs,Unknown,,,,Y,
Fragaria sp.,F,Perennial,Non-legume forb,C3,710,Fragarsp,Frasp,Unknown,,,Rosaceae,Y,
Fragaria vesca (americana),F,Perennial,Non-legume forb,C3,625,Fragvesc,Frave,Native,513637,Fragaria americana,Rosaceae,Y,
Fragaria virginiana,F,Perennial,Non-legume forb,C3,526,Fragvirg,Fravi,Native,24639,Fragaria virginiana,Rosaceae,Y,
Fraxinus americana,,,,,1004,,,,,,,,
Fraxinus nigra,W,Perennial,Woody,C3,366,Fraxnigr,Frani,Native,32945,Fraxinus nigra,Oleaceae,Y,
Fraxinus pennsylvanica,W,Perennial,Woody,C3,329,Fraxpenn,Frape,Native,32929,Fraxinus pennsylvanica,Oleaceae,Y,
Fruits & seeds,,,,,802,Fruiseed,Fruit,Unknown,,,,N,
Fungi,,,,,97,Fungi,Fungi,Unknown,,,,N,
Galium aparine,F,Annual,Non-legume forb,C3,665,Galiapar,Galap,Native,34797,Galium aparine,Rubiaceae,Y,
Galium boreale,F,Perennial,Non-legume forb,C3,527,Galibore,Galbo,Native,565204,Galium boreale,Rubiaceae,Y,
Galium sp.,F,Perennial,Non-legume forb,C3,644,Galiumsp,Galsp,Native,,,Rubiaceae,Y,
Galium trifidum,F,Perennial,Non-legume forb,C3,711,Galitrif,Galtr,Native,34806,Galium trifidum,Rubiaceae,Y,
Galium triflorum,F,Perennial,Non-legume forb,C3,657,Galitri2,Galtr,Native,34933,Galium triflorum,Rubiaceae,Y,
Gentiana andrewsii,F,Perennial,Non-legume forb,C3,727,Gentandr,Genan,Native,29967,Gentiana andrewsii,Gentianaceae,Y,
Geranium maculatum,F,Perennial,Non-legume forb,C3,682,Geramacu,Germa,Native,29107,Geranium maculatum,Geraniaceae,Y,
Glechoma hederacea,,,,,1032,,,,,,,,
Glyceria grandis,C3,Perennial,Grass,C3,150,Glycgran,Glygr,Native,502812,Glyceria grandis,Poaceae,Y,
Glyceria sp.,C3,Perennial,Grass,C3,155,Glycersp,Glysp,Unknown,,,Poaceae,Y,
